product_name,href,price
Apple iphone 11 64 white,https://www.google.com/url?url=https://valuekart18.com/product/apple-iphone-15-black-128-gb/%3Fattribute_pa_colour%3Dblue%26srsltid%3DAfmBOoryyqS3CL32HyfjJQaAFKql1eMW48O71Ry6vzMx0LaQnjAIQa2W5x8&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiQyqahpMaEAxWeTWwGHV8gCAQQgOUECKoN&usg=AOvVaw3juR-ucDLEd0usrp-ekD9A,"<selenium.webdriver.remote.webelement.WebElement (session=""c685d4c775ca8b8fd36bfd434cae349c"", element=""f.935C78C7558860BCFF417BD943846493.d.8DB939DFB31DB2F1D1F73D33393D6184.e.1236"")>"
Apple iPhone 11 (128 GB) White - Renewed,,"<selenium.webdriver.remote.webelement.WebElement (session=""c685d4c775ca8b8fd36bfd434cae349c"", element=""f.935C78C7558860BCFF417BD943846493.d.8DB939DFB31DB2F1D1F73D33393D6184.e.1237"")>"
"Apple iPhone 14 (128 GB, Starlight)",https://www.google.com/url?url=https://www.amazon.in/Apple-iPhone-13-128GB-Green/dp/B09V4B6K53%3Fsource%3Dps-sl-shoppingads-lpcontext%26ref_%3Dfplfs%26psc%3D1%26smid%3DA14CZOWI0VEHLG&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiQyqahpMaEAxWeTWwGHV8gCAQQguUECLkN&usg=AOvVaw2-PNCcrtRJIZB9or-6fUt4,"<selenium.webdriver.remote.webelement.WebElement (session=""c685d4c775ca8b8fd36bfd434cae349c"", element=""f.935C78C7558860BCFF417BD943846493.d.8DB939DFB31DB2F1D1F73D33393D6184.e.1238"")>"
iPhone 15 (256 GB Refurbished),https://www.google.com/url?url=https://www.amazon.in/Apple-iPhone-13-128GB-Green/dp/B09V4B6K53%3Fsource%3Dps-sl-shoppingads-lpcontext%26ref_%3Dfplfs%26psc%3D1%26smid%3DA14CZOWI0VEHLG&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiQyqahpMaEAxWeTWwGHV8gCAQQguUECLoN&usg=AOvVaw36OXZ9KB_NfCvQkYNWXlzv,"<selenium.webdriver.remote.webelement.WebElement (session=""c685d4c775ca8b8fd36bfd434cae349c"", element=""f.935C78C7558860BCFF417BD943846493.d.8DB939DFB31DB2F1D1F73D33393D6184.e.1239"")>"
Apple iPhone X Space Gray by Cashify,,"<selenium.webdriver.remote.webelement.WebElement (session=""c685d4c775ca8b8fd36bfd434cae349c"", element=""f.935C78C7558860BCFF417BD943846493.d.8DB939DFB31DB2F1D1F73D33393D6184.e.1240"")>"
iPhone 15 Pro (128GB Refurbished),https://www.google.com/url?url=https://www.apple.com/in/shop/go/product/MTP23%3Fcid%3Daos-in-seo-pla-iphone&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiQyqahpMaEAxWeTWwGHV8gCAQQguUECMoN&usg=AOvVaw2wtUxjA9V0y1EeFLVuJs6K,"<selenium.webdriver.remote.webelement.WebElement (session=""c685d4c775ca8b8fd36bfd434cae349c"", element=""f.935C78C7558860BCFF417BD943846493.d.8DB939DFB31DB2F1D1F73D33393D6184.e.1241"")>"
Apple Iphone 2g 8gb Black by Ubuy UAE,https://www.google.com/url?url=https://www.apple.com/in/shop/go/product/MTP23%3Fcid%3Daos-in-seo-pla-iphone&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiQyqahpMaEAxWeTWwGHV8gCAQQguUECMsN&usg=AOvVaw3QWtFwtUxeGMf7OiX4hTxk,"<selenium.webdriver.remote.webelement.WebElement (session=""c685d4c775ca8b8fd36bfd434cae349c"", element=""f.935C78C7558860BCFF417BD943846493.d.8DB939DFB31DB2F1D1F73D33393D6184.e.1242"")>"
"Apple iPhone 14 128 GB, Blue",,"<selenium.webdriver.remote.webelement.WebElement (session=""c685d4c775ca8b8fd36bfd434cae349c"", element=""f.935C78C7558860BCFF417BD943846493.d.8DB939DFB31DB2F1D1F73D33393D6184.e.1243"")>"
"Apple iPhone 11, 64GB Green (Refurbished)",https://www.google.com/url?url=https://www.apple.com/in/shop/go/product/MLPH3%3Fcid%3Daos-in-seo-pla&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiQyqahpMaEAxWeTWwGHV8gCAQQguUECNsN&usg=AOvVaw3EOjQDTYUbzCbfGSSs8_nH,"<selenium.webdriver.remote.webelement.WebElement (session=""c685d4c775ca8b8fd36bfd434cae349c"", element=""f.935C78C7558860BCFF417BD943846493.d.8DB939DFB31DB2F1D1F73D33393D6184.e.1244"")>"
"Apple iPhone 13 128 GB, Midnight (Black)",https://www.google.com/url?url=https://www.apple.com/in/shop/go/product/MLPH3%3Fcid%3Daos-in-seo-pla&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiQyqahpMaEAxWeTWwGHV8gCAQQguUECNwN&usg=AOvVaw1n-LB1OHV9TilN6Zkc-60s,"<selenium.webdriver.remote.webelement.WebElement (session=""c685d4c775ca8b8fd36bfd434cae349c"", element=""f.935C78C7558860BCFF417BD943846493.d.8DB939DFB31DB2F1D1F73D33393D6184.e.1245"")>"
Apple iPhone 13 Pro - (Open Box Mobile),,"<selenium.webdriver.remote.webelement.WebElement (session=""c685d4c775ca8b8fd36bfd434cae349c"", element=""f.935C78C7558860BCFF417BD943846493.d.8DB939DFB31DB2F1D1F73D33393D6184.e.1246"")>"
Apple iPhone 12 White by Cashify,https://www.google.com/url?url=https://www.cashify.in/buy-refurbished-mobile-phones/renewed-apple-iphone-11/94746%3Fsrsltid%3DAfmBOorlnx8HLdoy6DwbRRsWFCWBZ83fgbV53xdaFPnFWL__ks-OmQF4Wjo&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiQyqahpMaEAxWeTWwGHV8gCAQQgOUECOoN&usg=AOvVaw1detM9CNVZKcXt1n3ql-lH,"<selenium.webdriver.remote.webelement.WebElement (session=""c685d4c775ca8b8fd36bfd434cae349c"", element=""f.935C78C7558860BCFF417BD943846493.d.8DB939DFB31DB2F1D1F73D33393D6184.e.1247"")>"
Apple iPhone XR Blue by Cashify,https://www.google.com/url?url=https://www.cashify.in/buy-refurbished-mobile-phones/renewed-apple-iphone-11/94746%3Fsrsltid%3DAfmBOorlnx8HLdoy6DwbRRsWFCWBZ83fgbV53xdaFPnFWL__ks-OmQF4Wjo&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiQyqahpMaEAxWeTWwGHV8gCAQQgOUECOwN&usg=AOvVaw28IOpnDhoAK0BMgVp9aaUu,"<selenium.webdriver.remote.webelement.WebElement (session=""c685d4c775ca8b8fd36bfd434cae349c"", element=""f.935C78C7558860BCFF417BD943846493.d.8DB939DFB31DB2F1D1F73D33393D6184.e.1248"")>"
Apple iPhone SE 2020 White by Cashify,,"<selenium.webdriver.remote.webelement.WebElement (session=""c685d4c775ca8b8fd36bfd434cae349c"", element=""f.935C78C7558860BCFF417BD943846493.d.8DB939DFB31DB2F1D1F73D33393D6184.e.1249"")>"
Apple Iphone 8 - 64GB - SILVER - NEW Condition - Refurbished - Buy & Get FREE GIFTS,https://www.google.com/url?url=https://www.apple.com/in/shop/go/product/MPUF3%3Fcid%3Daos-in-seo-pla-iphone&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiQyqahpMaEAxWeTWwGHV8gCAQQguUECPsN&usg=AOvVaw1lIjIkHqF17xtkZOBjx4uN,"<selenium.webdriver.remote.webelement.WebElement (session=""c685d4c775ca8b8fd36bfd434cae349c"", element=""f.935C78C7558860BCFF417BD943846493.d.8DB939DFB31DB2F1D1F73D33393D6184.e.1250"")>"
